id,name
0,Maske
1,"Talboden - Sedimente"
2,"klastische Lockersedimente Quartär"
3,"klastische Lockersedimente Palaeogen - Neogen"
4,Massenbewegungen
5,Sedimentgestein
6,Schiefer
7,Karbonate
8,"metamorphe und magmatische Gesteine"
